epoch,batch,train_loss,train_accuracy
1,0,3.6138362884521484,0.0625
1,1,3.5578784942626953,0.03125
1,2,3.574502468109131,0.0625
1,3,3.5512733459472656,0.09375
1,4,3.395115375518799,0.15625
1,5,3.40836763381958,0.09375
1,6,3.232588529586792,0.3125
1,7,3.124613046646118,0.375
1,8,3.338494300842285,0.28125
1,9,3.1297619342803955,0.34375
1,10,3.098320960998535,0.3125
1,11,3.1096251010894775,0.40625
1,12,3.2707972526550293,0.21875
1,13,2.7912867069244385,0.53125
1,14,2.6406149864196777,0.59375
1,15,3.031778573989868,0.25
1,16,2.861764907836914,0.40625
1,17,2.771209239959717,0.40625
1,18,2.7533133029937744,0.34375
1,19,2.5602691173553467,0.5625
1,20,2.7616279125213623,0.375
1,21,2.428048849105835,0.59375
1,22,2.765385866165161,0.40625
1,23,2.6953158378601074,0.34375
1,24,2.620993137359619,0.5
1,25,2.639676332473755,0.5625
1,26,2.4055938720703125,0.4375
1,27,2.1307826042175293,0.75
1,28,2.333601951599121,0.65625
1,29,2.6386122703552246,0.375
1,30,2.369534730911255,0.625
1,31,2.4656524658203125,0.625
1,32,2.3824074268341064,0.53125
1,33,2.08392333984375,0.59375
1,34,2.1704657077789307,0.625
1,35,2.1843321323394775,0.625
1,36,1.9905683994293213,0.71875
1,37,2.2241084575653076,0.65625
1,38,2.0224595069885254,0.6875
1,39,2.051849603652954,0.625
1,40,2.4766829013824463,0.5
1,41,2.386451005935669,0.5
1,42,1.976546287536621,0.65625
1,43,2.126929759979248,0.59375
1,44,2.1720776557922363,0.625
1,45,1.874647855758667,0.78125
1,46,2.114067554473877,0.625
1,47,1.8200076818466187,0.65625
1,48,2.0468459129333496,0.5625
1,49,1.8990471363067627,0.75
1,50,1.9394221305847168,0.625
1,51,1.7345728874206543,0.75
1,52,1.7486062049865723,0.84375
1,53,1.9073688983917236,0.65625
1,54,2.169368267059326,0.59375
1,55,1.6182613372802734,0.8125
1,56,2.0971150398254395,0.59375
1,57,1.989271640777588,0.625
1,58,1.6392308473587036,0.71875
1,59,1.631543517112732,0.71875
1,60,1.675386667251587,0.78125
1,61,1.5913366079330444,0.71875
1,62,1.7165863513946533,0.78125
1,63,2.0940511226654053,0.5625
1,64,2.0240232944488525,0.5
1,65,1.573885440826416,0.71875
1,66,1.4872475862503052,0.78125
